session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;1;0.000000;9536;24602;34.11;2394;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;2;0.020235;9544;24606;33.87;2385;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;3;0.050065;9527;24618;34.67;2414;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;4;0.069706;9517;24616;34.45;2406;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;5;0.100359;9521;24624;34.42;2405;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;6;0.119933;9532;24620;34.92;2423;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;7;0.150501;9534;24627;34.59;2411;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;8;0.169860;9529;24629;34.95;2424;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;9;0.200557;9524;24640;34.61;2412;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;10;0.220187;9527;24631;33.95;2388;31;31;1;100;411;8192;50;0;81;80;;confirmada;2026-06-08T13:41:34.098
