session_id;id;base_name;modo;bloque;inicio_s;fin_s;bpm_medio_10s
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;1;0;10;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;2;10;20;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;3;20;30;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;4;30;40;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;5;40;50;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;6;50;60;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;7;60;70;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;8;70;80;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;9;80;90;
BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260603_121000_CFG003_3M_03_-_RED31_IR31_AVG4_ADC16384;experimento_3m;10;90;100;
